"filename", "language", "JSON", "JSON with Comments", "Markdown", "PostCSS", "TypeScript", "HTML", "TypeScript JSX", "XML", "Rust", "comment", "blank", "total"
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadColorEditPreferences.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadColorVariationAnalysisPreferences.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadComfyApp.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 2, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadComfyOutputClassTypes.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 2, 19
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadComfyUiSettings.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadEditorPreferences.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadFieldPromptConfigs.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadLlmSettings.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadPixelRestorePreferences.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadProject.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadUserDataBundle.ts", "TypeScript", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 9, 146
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadWorld.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadWorldAgentSettings.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\MigrateUserDataFromLocalStorage.test.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 13, 62
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\MigrateUserDataFromLocalStorage.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\MoveDrawingLayer.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\MoveReferenceLayer.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\NavigateToPoint.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\OpenLastProjectOnStartup.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PalettePresetUseCases.test.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 6, 66
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PalettePresetUseCases.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 6, 46
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PaletteUseCases.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PickColorAtPoint.test.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 16, 121
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PickColorAtPoint.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 9, 82
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PixelRestoreUseCases.test.ts", "TypeScript", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 11, 106
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PixelRestoreUseCases.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 9, 95
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\PomodoroTimerUseCases.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ProjectPersistence.test.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ProjectPersistence.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\RenamePatternBrush.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\RenameProjectInSoftwareDataPath.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ReplaceProjectFromImage.ts", "TypeScript", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResizeCanvas.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResizeCanvasByEdge.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolveMagicWandTargetColor.test.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 67
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolveMagicWandTargetColor.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolvePatternBrushSelection.test.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 71
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolvePatternBrushSelection.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 15, 118
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolveProjectSavePath.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ResolveWorldSavePath.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\RunComfyWorkflow.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 0, 0, 14, 18, 124
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\SaveAgentProfiles.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\SaveAppSettings.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\SaveColorEditPreferences.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\SaveColorVariationAnalysisPreferences.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\SaveComfyApp.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
